Representative,AvgTradeReturn,AvgSPYReturn,AvgExcessReturn,NumTrades,WinRate,BeatSPYRate,Party
Donald Sternoff Beyer Jr,0.01703547504188619,-0.014440928896336608,0.0314764039382228,320,0.596875,0.559375,Democratic
Rick Larsen,0.016243726317152853,0.026071622143114353,-0.009827895825961502,37,0.5945945945945946,0.4864864864864865,Democratic
Bradley S. Schneider,0.015104569374425761,0.019219520534614565,-0.004114951160188803,48,0.5625,0.4791666666666667,Democratic
David J. Taylor,0.014865022973832081,0.0038655230651603867,0.010999499908671695,84,0.5595238095238095,0.5,Republican
Gerald E. Connolly,0.01424266788953625,0.020571641767697494,-0.006328973878161244,24,0.625,0.375,Democratic
John Boozman,0.014181549095931773,0.018640762413262627,-0.004459213317330854,174,0.47126436781609193,0.43103448275862066,Republican
Lloyd Doggett,0.01389411008989133,0.02673228915907528,-0.01283817906918395,222,0.5675675675675675,0.4144144144144144,Democratic
Lamar Smith,0.013248585483043964,0.013318826120321217,-7.024063727725445e-05,311,0.572347266881029,0.5176848874598071,Republican
Robert J. Wittman,0.013218858370888828,0.03272666923974158,-0.01950781086885275,124,0.5806451612903226,0.43548387096774194,Republican
Ro Khanna,0.013109999814144574,0.018102904032614952,-0.004992904218470377,13542,0.5433466253138385,0.4734160389898095,Democratic
John F. Reed,0.01214131282195156,0.008193584661427682,0.003947728160523877,59,0.6610169491525424,0.559322033898305,Democratic
Thomas J. Rooney,0.011899182842423743,0.013406322878248722,-0.0015071400358249794,422,0.5710900473933649,0.5402843601895735,Republican
Gary Palmer,0.011783995450990396,0.025812991972285773,-0.014028996521295373,185,0.5513513513513514,0.4594594594594595,Republican
K. Michael Conaway,0.011471947300209607,0.018695576033687274,-0.007223628733477666,410,0.5609756097560976,0.43414634146341463,Republican
Earl Blumenauer,0.010989261915482414,0.016140853050859293,-0.005151591135376879,242,0.5454545454545454,0.47107438016528924,Democratic
Jon Kyl,0.010761142139698643,-0.0030854360987598722,0.013846578238458515,8,0.5,0.375,Republican
Tammy Duckworth,0.010572813891153757,0.0297058199267307,-0.019133006035576945,9,0.5555555555555556,0.5555555555555556,Democratic
Louise Mcintosh Slaughter,0.010434376391435107,0.014299044145639017,-0.00386466775420391,17,0.8235294117647058,0.5294117647058824,Democratic
Byron Donalds,0.010117937886370726,0.01685416941159238,-0.006736231525221653,77,0.45454545454545453,0.4155844155844156,Republican
Susan M. Collins,0.009670297901966576,0.021958972076521154,-0.012288674174554584,118,0.6271186440677966,0.4576271186440678,Republican
Victoria Spartz,0.008700018214386361,0.006885552283969353,0.0018144659304170085,18,0.6111111111111112,0.5,Republican
Julia Letlow,0.008562474150770447,0.020774172370356937,-0.012211698219586488,138,0.4855072463768116,0.391304347826087,Republican
Peter Welch,0.008403107869434476,0.00835973219162748,4.337567780699702e-05,29,0.41379310344827586,0.4827586206896552,Democratic
Suzan K. Delbene,0.008128925499108668,0.018541271853765633,-0.010412346354656963,106,0.5377358490566038,0.4716981132075472,Democratic
Roger Williams,0.008070681514643492,0.035879031013691894,-0.0278083494990484,13,0.6153846153846154,0.15384615384615385,Republican
John Hickenlooper,0.007605220126847338,0.01733951602754541,-0.009734295900698072,37,0.4864864864864865,0.5405405405405406,Democratic
David P. Joyce,0.007513156244630577,0.02376601397525904,-0.016252857730628463,62,0.5806451612903226,0.3225806451612903,Republican
Donna Shalala,0.007121441729192885,0.028355932202078066,-0.02123449047288518,139,0.5539568345323741,0.38848920863309355,Democratic
Jerry Moran,0.0070318839365388726,0.017198999811776042,-0.010167115875237168,47,0.44680851063829785,0.3617021276595745,Republican
Jonathan Jackson,0.006945148937663816,0.028184490626966506,-0.02123934168930269,103,0.47572815533980584,0.4174757281553398,Democratic
Lois Frankel,0.004712610595477824,0.014731913618208806,-0.01001930302273098,664,0.5331325301204819,0.4397590361445783,Democratic
Beto O'Rourke,0.0037985274773724947,0.04592412328617553,-0.04212559580880304,7,0.5714285714285714,0.42857142857142855,Democratic
Zoe Lofgren,0.003188511064524758,0.016692746123900017,-0.013504235059375258,194,0.5051546391752577,0.39690721649484534,Democratic
Nancy Pelosi,0.0018509581188065043,-0.0008651666744065306,0.002716124793213035,98,0.5102040816326531,0.5,Democratic
Patrick Fallon,0.0016836641086595578,0.039364339544025816,-0.03768067543536626,57,0.47368421052631576,0.3157894736842105,Republican
Carol Devine Miller,0.0016766989174578743,0.029747580194417027,-0.028070881276959152,64,0.515625,0.40625,Republican
Bill Flores,0.0016206112076527035,0.013968392339058285,-0.012347781131405581,379,0.5065963060686016,0.44063324538258575,Republican
Richard L. Hanna,0.001505389367358546,0.007853848776596615,-0.0063484594092380695,176,0.5227272727272727,0.4715909090909091,Republican
Lindsey Graham,0.0011994501549486187,0.048927075154812504,-0.04772762499986388,6,0.6666666666666666,0.0,Republican
Frank A. Lobiondo,0.0010955552964135862,0.012453877017123836,-0.01135832172071025,9,0.6666666666666666,0.5555555555555556,Republican
Virginia Foxx,0.0010179222802913271,0.009772538690234525,-0.008754616409943199,682,0.5278592375366569,0.4780058651026393,Republican
Bruce Westerman,0.0007569907019467397,-0.006785876480137118,0.0075428671820838575,103,0.4563106796116505,0.5145631067961165,Republican
Roger W. Marshall,0.00020944902844504564,0.032526268186140475,-0.03231681915769542,75,0.5466666666666666,0.44,Republican
Michael C. Burgess,-0.001150552416517199,0.020131015623728876,-0.021281568040246075,37,0.4594594594594595,0.4594594594594595,Republican
A. Mitchell Jr. McConnell,-0.001222434851349249,0.014342496997199583,-0.015564931848548832,35,0.4857142857142857,0.4857142857142857,Republican
Nick J. Rahall Ii,-0.001945910645319397,0.023650847548636098,-0.025596758193955495,23,0.43478260869565216,0.34782608695652173,Democratic
Thad Cochran,-0.0023063217127385406,0.01703420876466224,-0.01934053047740078,249,0.5100401606425703,0.43775100401606426,Republican
Ed Whitfield,-0.002385804604638705,0.02240253131788504,-0.024788335922523747,100,0.52,0.39,Republican
Kurt Schrader,-0.0025382537688066528,-0.006092758369930659,0.0035545046011240065,64,0.515625,0.453125,Democratic
Thomas Suozzi,-0.00268431719473232,0.013617225058742844,-0.016301542253475163,315,0.5079365079365079,0.46984126984126984,Democratic
Patty Murray,-0.0030032043134559706,0.00763166722576325,-0.01063487153921922,78,0.4230769230769231,0.41025641025641024,Democratic
Valerie Hoyle,-0.0039029857554983595,0.017913580538960854,-0.021816566294459213,190,0.48947368421052634,0.4105263157894737,Democratic
April Mcclain Delaney,-0.006437353332324016,0.02657469940827875,-0.03301205274060276,145,0.4413793103448276,0.3586206896551724,Democratic
Rubén Hinojosa,-0.007571375388016692,0.007542238995611131,-0.015113614383627823,38,0.3684210526315789,0.3157894736842105,Democratic
Kathy Manning,-0.007574694809130355,0.005917390512735966,-0.013492085321866321,320,0.45625,0.45,Democratic
Bob Gibbs,-0.008466060966911566,0.004654979980547918,-0.013121040947459485,105,0.4666666666666667,0.49523809523809526,Republican
Carlos Curbelo,-0.008477295671279217,7.168149846224563e-05,-0.008548977169741463,195,0.5333333333333333,0.5128205128205128,Republican
Joe Courtney,-0.009213231790374312,0.006413001237965906,-0.01562623302834022,58,0.4827586206896552,0.4827586206896552,Democratic
Sara Jacobs,-0.011068379715745081,0.05676486424121241,-0.06783324395695749,5,0.6,0.2,Democratic
Gary Peters,-0.011770997808939964,0.016984165952158868,-0.028755163761098834,57,0.47368421052631576,0.3157894736842105,Democratic
Mick Mulvaney,-0.012493518856525165,0.014242181345598657,-0.026735700202123822,7,0.42857142857142855,0.2857142857142857,Republican
Michael Patrick Guest,-0.01268666063459224,-0.013592116527449,0.0009054558928567596,45,0.4222222222222222,0.5333333333333333,Republican
Diana Harshbarger,-0.013014653218942265,-0.030938825871870523,0.017924172652928255,212,0.42452830188679247,0.5613207547169812,Republican
