,Composite (all 3),Bottom 8 (composite),Lobbying only,Contracts only,Congress buys only,Hold all 32 (no signal),SPY
2022-03-31,22467.15515539448,49825.14018574967,19749.97273000502,22807.679823475075,25482.38889027554,29418.543169785356,20526.941362916
2022-04-30,23066.88394289885,51737.19266038739,19428.893403925624,23143.757434919604,26255.926117239214,29812.369019887716,20450.178288431052
2022-05-31,22350.379212554435,50009.217101833034,18942.62460544822,23192.0287971053,24990.275141446262,29038.756252460455,18683.141838351814
2022-06-30,23086.964667484513,56436.90133175943,20446.273979529797,23879.79143134808,26112.137363818605,31073.36097560531,20343.205229793966
2022-07-31,22163.271205911093,57169.03917070394,20056.13237908245,23039.957666109734,25017.631095893754,30315.129458904965,19571.11727416798
2022-08-31,20839.13010140782,54203.39425707297,17704.3427318912,21053.13014806983,23250.84215642403,28402.47602412395,17689.183835182244
2022-09-30,23487.55739326716,63080.654016554334,20365.908933641553,24643.4082285323,25497.085991662814,32247.977847672457,19126.881933438974
2022-10-31,25043.694797929948,65525.56542304954,21388.40360007968,25617.46097967862,26747.088292097178,33227.13660846685,20190.174326465916
2022-11-30,24786.74402413525,62886.43306922809,20850.644528705892,25427.237718743618,25496.78456651284,31971.558011253022,18859.944532488105
2022-12-31,24997.65508093936,64001.54887405037,21406.200718343494,25085.790881941728,25549.027172984883,32169.21262739367,20130.744849445317
2023-01-31,24106.815587098168,60392.06439656617,20546.353045340726,24674.074564338633,24440.64936449632,30999.447357279358,19624.60380348652
2023-02-28,25134.85665626724,64960.37519138554,21673.871192993145,24560.48635380758,25152.624257517407,32064.30921948198,20274.861331220272
2023-03-31,25682.321160028678,64510.025150445515,21452.390131431002,24505.174849623552,25549.928129249824,32025.289033180976,20577.951664025346
2023-04-30,26270.72687209738,64498.17173663503,21511.64952350662,23195.898143276812,25890.498140241096,32351.135923318277,20693.83914421552
2023-05-31,27195.39796636737,68080.9701894019,22146.086208410874,24209.664447692732,26790.470927143222,33944.794696712524,21953.24881141045
2023-06-30,27207.789332486907,70118.94024522207,22945.973251048417,23873.983846784635,26801.54750167243,35015.31308013075,22671.8502377179
2023-07-31,27284.108847471092,72661.6166705992,22408.093232004852,23428.270446486684,26302.97729195784,34536.59639034072,22303.387480190166
2023-08-31,26343.751277523566,70199.41679862722,21490.378299601365,21749.403969243456,25185.26675160528,33278.36569686613,21162.341521394606
2023-09-30,26127.932120894082,73226.45139793628,21902.426173016298,22342.052543989244,25216.867089264124,33574.28228005843,20711.172741679868
2023-10-31,27550.09462762569,79468.25419285394,23011.81094351355,23302.640096745537,26773.921345846393,35688.43191730375,22603.01109350237
2023-11-30,27941.59256009399,84753.56419108204,23985.457349057466,24327.3914451964,27552.99806629272,37006.76891965737,23407.785261489695
2023-12-31,29097.526388262737,82726.83044562122,23088.98940546299,25407.712765432367,28136.055184185716,36810.256893512465,23914.421553090328
2024-01-31,29902.236882481317,93738.62424609691,23340.292196253587,25887.461956088046,29749.47460789554,39056.42572986234,25162.440570522976
2024-02-29,30571.280840067706,99790.8253338336,24118.96703065163,26393.840055182816,29776.97878104818,40721.07716188196,25859.746434231372
2024-03-31,28382.117056900956,101374.95757822266,22509.28235148174,25448.96566713597,28485.198554096904,39705.57903966283,24860.34072900158
2024-04-30,28931.104654992017,115982.92646711232,23526.520541757473,26147.039002266156,29174.810183224763,42055.3891069548,26117.76941362915
2024-05-31,29431.59627608073,110560.79629905966,24777.1412471928,26475.8668317339,30426.32126175394,41910.239896101266,27007.72583201267
2024-06-30,31244.363193876132,111776.19354326847,25725.06701448811,27269.25512679111,31671.32762321705,43456.70248268454,27278.625198098245
2024-07-31,31841.65340647592,109474.97301722533,24795.596107356327,27931.63564338922,31500.313796043483,43392.34861950927,27341.521394611722
2024-08-31,32629.976109644278,117533.62045033392,25761.247890824947,28720.481291945893,32043.15237454735,45273.40643454768,28415.213946117266
2024-09-30,31263.048712477394,111220.58746283983,24113.494955041213,27965.24189633288,31306.287341253475,43794.295130551196,28161.648177496027
2024-10-31,31853.65659934332,112159.16774582789,24677.099950729193,27420.22910326479,32602.12660027109,44609.65234209544,29894.51267828842
2024-11-30,30881.195063556585,101419.02812785072,24531.800767476114,26143.451282136462,30850.056838232984,41924.02594228411,29025.356576862116
2024-12-31,31792.54792187109,110997.05459154189,24707.74115599793,26801.148587855645,31894.688207104748,44094.94022201018,29804.87321711568
2025-01-31,30664.0960140858,100683.74324507314,23785.13485144683,25384.428562733494,32022.191417424187,42388.5145748002,29426.505546751174
2025-02-28,29703.43565781117,96505.08114632485,22783.65705628818,24467.779197646538,30807.205306129817,41810.239678864185,27703.54595879555
2025-03-31,31027.395424278642,103830.52279082559,23021.310979304544,24634.58469288211,31463.604785949014,42342.859275824376,27463.351822503944
2025-04-30,32735.033616067816,113718.00874988594,24455.94261321837,25211.046477821576,32659.587910867947,43934.90580667617,29353.70443740094
2025-05-31,34630.98352807046,129742.55736622261,25939.578724239127,26732.534520915175,33687.288427821775,47004.5542371122,30598.751980982554
2025-06-30,35904.81408050701,136992.93480766757,25977.074236949033,26930.00404174681,32977.45003707917,48488.97522372259,31303.48652931853
2025-07-31,36756.25340625155,141064.64408912198,27407.248971799185,27122.66736965129,34743.35031151872,49868.355872149965,31709.092709984136
2025-08-31,38383.25315527277,157618.48932069042,28799.590732510784,28556.55203701762,35747.39580607006,53178.06539384611,32992.2741679873
2025-09-30,38657.56928101487,167875.403788434,28638.229660282726,27790.013881331262,36750.46257827633,54449.73407637943,33778.72424722661
2025-10-31,38701.3058588921,153026.25800725864,28499.3587087356,26322.43614535637,37389.461616411536,52626.98118290459,33690.07527733754
2025-11-30,39217.773612127174,157597.55184556032,28952.93624763964,28161.550582910255,37522.14275029579,54062.81352499559,33771.790808240876
2025-12-31,41118.48847685081,178526.6135091387,29684.07663796561,31348.698194839664,37146.1112318004,57063.41515654178,34439.87717908081
2026-01-31,41622.71427321628,186061.39922837485,29715.225360348286,31555.64719299648,36240.04127580994,58056.63777780236,33992.67036450078
2026-02-28,39617.58387941604,177312.3431385051,28455.99099988416,29092.573219377406,35055.76338065222,55093.5125074547,32207.805071315357
2026-03-31,39574.04609222463,173087.58052941423,30140.867003772542,27636.752257798587,37279.29422349129,55339.252868476666,35591.323296354974
2026-04-30,41587.82944504568,177953.18911559385,32791.86320596845,27738.32743424112,39518.51000107395,57510.742859583355,37566.362916006314
