Date,OpenPositions,CumPortfolio,CumSPY
2017-09-06,606,12195.836115718761,13539.15332309717
2017-09-07,611,12173.687241434582,13537.508225488044
2017-09-08,624,12149.205246412488,13521.605615266506
2017-09-11,617,12280.981145803431,13665.82583899978
2017-09-12,667,12346.227918232067,13711.888572055275
2017-09-13,664,12379.485125150552,13718.468962491772
2017-09-14,633,12370.063301352968,13714.082035534107
2017-09-15,633,12407.970769890726,13664.729107260362
2017-09-18,548,12445.21242768868,13693.792498354902
2017-09-19,547,12458.060139008741,13707.501645097609
2017-09-20,547,12494.34616094526,13712.436937924984
2017-09-21,555,12462.982886333666,13675.696424654529
2017-09-22,555,12492.605679253587,13678.43825400307
2017-09-25,555,12487.199152670728,13650.471594647948
2017-09-26,542,12504.06569502956,13658.697082693574
2017-09-27,483,12582.386231004597,13711.888572055275
2017-09-28,484,12576.758284930678,13728.339548146521
2017-09-29,484,12620.44706672212,13776.595744680848
2017-10-02,503,12682.974081378183,13836.367624479051
2017-10-03,506,12679.217637750422,13865.979381443298
2017-10-04,518,12692.40586462868,13882.430357534546
2017-10-05,519,12754.911009671157,13964.685237990787
2017-10-06,542,12732.24069371297,13948.782627769247
2017-10-09,554,12666.74090810543,13925.7512612415
2017-10-10,579,12692.408889760609,13962.491774511953
2017-10-11,431,12683.891194351963,13984.426409300286
2017-10-12,517,12647.440104365027,13963.58850625137
2017-10-13,518,12654.023214378696,13980.587848212324
2017-10-16,514,12649.50781004016,13999.232287782406
2017-10-17,522,12627.754345135727,14009.102873437156
2017-10-18,533,12650.018555123805,14022.812020179863
2017-10-19,524,12648.935157414939,14026.65058126782
2017-10-20,525,12701.713689831171,14099.034876069314
2017-10-23,521,12635.354815706502,14044.198289098485
2017-10-24,523,12643.147560398347,14068.87475323536
2017-10-25,522,12564.27423278219,13999.232287782406
2017-10-26,542,12572.249941534372,14017.328361482781
2017-10-27,546,12678.685569790296,14131.936828251808
2017-10-30,512,12582.99486984164,14079.293704759815
2017-10-31,516,12624.98759608591,14101.228339548145
2017-11-01,517,12646.896844270685,14119.872779118228
2017-11-02,510,12585.583222818681,14125.356437815308
2017-11-03,511,12598.705997974917,14172.51590261022
2017-11-06,561,12656.492685474168,14194.450537398552
2017-11-07,571,12620.826894978965,14184.579951743803
2017-11-08,531,12645.093411439306,14208.708050010968
2017-11-09,420,12592.841032697641,14157.16165825839
2017-11-10,436,12579.279307363116,14152.774731300722
2017-11-13,487,12554.279365360519,14165.935512173719
2017-11-14,486,12496.158549337573,14133.033559991227
2017-11-15,486,12451.845618887555,14062.294362798857
2017-11-16,490,12550.538742473891,14181.83812239526
2017-11-17,511,12545.974674257996,14140.162316297434
2017-11-20,497,12570.228107680628,14164.290414564597
2017-11-21,499,12629.126266773388,14256.964246545294
2017-11-22,508,12662.013851441776,14244.351831542004
2017-11-24,508,12682.575596485794,14277.253783724502
2017-11-27,510,12638.412465011019,14270.125027418295
2017-11-28,511,12751.1975394233,14414.893617021276
2017-11-29,490,12797.137766643793,14406.119763105942
2017-11-30,489,12875.60216345923,14532.243913138846
2017-12-01,489,12878.248183093669,14502.083790304889
2017-12-04,462,12898.836987546674,14484.536082474224
2017-12-05,451,12827.009475668563,14432.44132485194
2017-12-06,429,12783.003271835418,14435.183154200482
2017-12-07,406,12819.914659090398,14480.697521386268
2017-12-08,420,12901.59392534594,14559.662206624258
2017-12-11,330,12924.806094171758,14603.53147620092
2017-12-12,334,12933.876236185964,14629.304672077207
2017-12-13,339,12946.671904056506,14627.659574468084
2017-12-14,752,12875.245830923974,14567.887694669884
2017-12-15,752,12978.363062185756,14614.498793595085
2017-12-18,745,13061.320326059367,14707.172625575782
2017-12-19,747,13025.528966746468,14650.690940995832
2017-12-20,748,13024.5193278866,14643.013818819914
2017-12-21,750,13065.559428146687,14673.17394165387
2017-12-22,758,13071.647470075197,14669.335380565912
2017-12-26,767,13078.10591762947,14651.787672735249
2017-12-27,771,13084.13076243431,14658.916429041456
2017-12-28,771,13112.855251789482,14689.07655187541
2017-12-29,771,13070.113827982246,14633.691599034875
2018-01-02,765,13182.83402341059,14738.429480149154
2018-01-03,706,13250.100020297026,14831.651677999562
2018-01-04,692,13287.957658929903,14894.165387146302
2018-01-05,699,13367.397005561821,14993.419609563502
2018-01-08,723,13401.860589106667,15020.837903048914
2018-01-09,710,13403.419101965397,15054.836586970829
2018-01-10,649,13389.546265145456,15031.80522044308
2018-01-11,655,13513.83845042933,15141.478394384732
2018-01-12,686,13599.290860992334,15240.184250932223
2018-01-16,660,13525.370008761334,15188.089493309937
2018-01-17,657,13630.435266645934,15332.858082912919
2018-01-18,659,13606.764435807096,15307.084887036628
2018-01-19,665,13685.961070810368,15376.72735248958
2018-01-22,658,13784.314085394948,15501.754770783065
2018-01-23,668,13830.524697801628,15534.656722965563
2018-01-24,706,13807.006949905062,15528.624698398771
2018-01-25,710,13798.411992445604,15535.205088835271
2018-01-26,715,13918.62175248961,15715.069094099581
2018-01-29,704,13825.38153848181,15610.87957885501
2018-01-30,705,13669.020914980567,15450.756744900196
2018-01-31,711,13671.281395725438,15458.433867076112
2018-02-01,702,13631.810247110403,15440.886159245447
2018-02-02,704,13355.507519655614,15104.737881114279
2018-02-05,722,12871.77022627787,14473.020399210352
2018-02-06,724,13061.419524063747,14758.170651458651
2018-02-07,735,13009.075348648044,14678.109234481244
2018-02-08,734,12569.239180529124,14127.549901294144
2018-02-09,737,12714.724832798689,14339.767492871242
2018-02-12,326,12877.380175801325,14550.339986839215
2018-02-13,408,12915.423521366642,14586.532134239964
2018-02-14,403,13071.640498843653,14783.395481465232
2018-02-15,403,13232.508032836035,14972.033340644875
2018-02-16,426,13248.426572507402,14976.420267602543
2018-02-20,438,13162.841802701507,14882.64970388243
2018-02-21,397,13062.915010552773,14808.620311471814
2018-02-22,397,13046.840618870825,14827.8131169116
2018-02-23,394,13258.262632215185,15064.158806755866
2018-02-26,406,13335.438729940488,15239.087519192803
2018-02-27,407,13125.27933902381,15048.804562404035
2018-02-28,415,12955.441393048963,14896.358850625136
2018-03-01,487,12854.422855580488,14679.75433209037
2018-03-02,486,12932.414217222691,14755.42882211011
2018-03-05,484,13089.085826376388,14925.970607589383
2018-03-06,502,13122.25284270545,14963.807852599253
2018-03-07,490,13115.441836465689,14958.324193902168
2018-03-08,506,13161.840259050654,15030.708488703664
2018-03-09,528,13363.514033622972,15292.279008554506
2018-03-12,526,13406.223317703132,15273.086203114717
2018-03-13,775,13349.099576384388,15174.380346567232
2018-03-14,777,13265.221204767664,15096.512393068655
2018-03-15,783,13225.950580109671,15080.061416977405
2018-03-16,783,13294.143462802707,15036.192147400745
2018-03-19,781,13112.581672815513,14832.748409738977
2018-03-20,774,13126.770194800894,14857.973239745557
2018-03-21,774,13130.712712542052,14829.458214520728
2018-03-22,768,12839.35215144489,14458.762886597939
2018-03-23,770,12597.662845283141,14150.581267821892
2018-03-26,763,12864.840426295172,14537.727571835927
2018-03-27,760,12699.010237759396,14290.4145645975
2018-03-28,760,12681.420578842473,14248.19039262996
2018-03-29,776,12828.825747128803,14430.247861373107
2018-04-02,766,12573.465774882347,14118.776047378811
2018-04-03,769,12710.68210766342,14299.736784382538
2018-04-04,762,12828.997844327525,14452.730862031147
2018-04-05,755,12919.504824325904,14566.790962930465
2018-04-06,755,12672.701337995872,14242.158368063172
2018-04-09,744,12693.24141844298,14312.34919938583
2018-04-10,743,12875.577743935482,14539.921035314761
2018-04-11,741,12837.046146214281,14463.69817942531
2018-04-12,737,12891.44006413016,14582.693573152006
2018-04-13,747,12883.471817795915,14539.921035314761
2018-04-16,668,13005.837953630014,14659.464794911164
2018-04-17,764,13147.355381438669,14816.29743364773
2018-04-18,742,13198.278413086115,14827.264751041894
2018-04-19,741,13106.367449231884,14745.009870585653
2018-04-20,743,13009.050233264823,14619.982452292168
2018-04-23,833,12960.156775306159,14617.788988813334
2018-04-24,831,12824.341892260374,14420.925641588066
2018-04-25,818,12834.541933087274,14456.569423119103
2018-04-26,819,12983.371420588863,14603.53147620092
2018-04-27,820,12966.539839887582,14617.240622943627
2018-04-30,740,12871.990540774043,14504.825619653431
2018-05-01,745,12894.233828032911,14530.59881552972
2018-05-02,742,12804.035812370688,14432.989690721646
2018-05-03,735,12766.876028940904,14401.18447027857
2018-05-04,725,12926.574523606098,14587.628865979379
2018-05-07,685,12970.93382016111,14636.981794253126
2018-05-08,662,12932.506464885957,14636.981794253126
2018-05-09,658,13041.695158474844,14778.460188637859
2018-05-10,388,13129.957492636686,14916.648387804342
2018-05-11,397,13153.701606735593,14962.16275499013
2018-05-14,615,13184.14220009673,14969.291511296336
2018-05-15,622,13104.601400845126,14866.198727791183
2018-05-16,713,13166.37487234643,14928.712436937925
2018-05-17,776,13175.59223872266,14916.100021934633
2018-05-18,779,13160.935773054027,14878.81114279447
2018-05-21,773,13254.766661664617,14990.677780214959
2018-05-22,773,13222.773792199469,14949.00197411713
2018-05-23,731,13247.799169620728,14990.12941434525
2018-05-24,734,13215.32086215128,14959.420925641587
